id,echogram_name,fishDate,strtFishTime,stpFishTime,strtFishLat,stpFishLat,strtFishLong,stpFishLong,strtFishDepth,stpFishDepth,bottomDepth,id,
1,echogram_20010704_120949,20010704,144000,153000,58.6533,58.6534,-2.0667,-2.1113,69,69,80,0206,
2,echogram_20010704_183405,20010704,193000,201500,58.6613,58.6587,-1.1208,-1.217,87,87,102,0207,
3,echogram_20010705_053445,20010705,64500,,58.5383,58.5382,-0.3427,-0.1996,100,114,130,0208,
4,echogram_20010705_094916,20010705,102500,112500,58.534,58.5189,-0.9503,-0.9346,100,100,115,0209,
5,echogram_20010705_143514,20010705,132000,,58.7682,58.7655,-0.7057,-0.8353,112,112,128,0210,
6,echogram_20010706_032847,20010706,31500,42000,58.6458,58.6487,1.2235,1.0298,108,108,121,0211,
7,echogram_20010706_171636,20010706,165500,163500,58.9027,58.9014,-1.741,-1.656,81,86,100,0212,
8,echogram_20010707_042120,20010707,42000,50000,59.1525,59.162,-1.6243,-1.7315,80,74,95,0213,
9,echogram_20010707_121842,20010707,120000,124000,59.0318,59.0237,-1.1378,-0.0513,117,117,128,0214,
10,echogram_20010708_160527,20010708,170000,175500,59.4,59.3954,-1.2833,-1.183,97,107,105,0215,
11,echogram_20010709_021214,20010709,24500,32500,59.4722,59.5019,2.345,2.345,56,65,95,0216,
12,echogram_20010709_084849,20010709,83500,93500,59.6502,59.6525,-1.0863,-1.1755,108,97,112,0217,
13,echogram_20010710_084939,20010710,113000,121000,59.9057,59.9157,-0.592,-0.7376,123,113,130,0219,
14,echogram_20010710_161427,20010710,161500,165000,60.031,60.0459,-0.6842,-0.7878,103,103,117,0220,
15,echogram_20010710_202430,20010710,200000,202500,60.0863,60.0551,0.0023,0.0026,122,122,130,0221,
16,echogram_20010711_033315,20010711,32500,40500,60.2845,60.2808,-0.3053,-0.204,115,115,130,0222,
17,echogram_20010711_085550,20010711,84800,93000,60.1542,60.1468,-0.796,-0.9033,100,100,115,0223,
18,echogram_20010712_043434,20010712,43600,52900,60.4007,60.4035,-0.002,0.1291,114,130,140,0224,
19,echogram_20010712_084228,20010712,84000,92000,60.4947,60.3783,-0.5283,-0.57,123,103,125,0225,
20,echogram_20010712_131341,20010712,124500,,60.5283,,-0.9022,,91,106,120,0227,
21,echogram_20010712_182823,20010712,180200,,60.5348,60.5255,0.4938,0.4598,125,125,143,0228,
22,echogram_20010714_122413,20010714,121000,122500,60.6462,60.6473,-0.4038,-0.4713,126,126,140,0229,
23,echogram_20010714_152155,20010714,160900,,60.6447,60.4771,0.214,0.112,130,111,140,0230,
24,echogram_20010714_170743,20010714,174000,181000,60.6495,60.642,0.3205,0.208,131,131,145,0231,
25,echogram_20010715_051118,20010715,44300,45200,60.8945,60.892,-0.5867,-0.8971,104,104,125,0232,
26,echogram_20010715_103302,20010715,101200,,60.7878,60.7826,0.1378,0.0318,131,131,147,0234,
27,echogram_20010715_200315,20010715,193000,195500,60.782,60.7828,1.2672,1.2405,133,133,147,0235,
28,echogram_20010716_052737,20010716,50000,52900,61.0497,61.0428,1.0932,1.1681,138,139,157,0236,
29,echogram_20010716_094011,20010716,92000,94200,61.0335,61.0335,0.0237,0.0886,126,118,146,0237,
30,echogram_20010716_142932,20010716,140600,144300,61.2877,61.2356,-0.749,-0.7431,153,153,173,0238,
31,echogram_20010716_162824,20010716,161800,170900,61.2815,61.2855,-0.584,-0.7241,156,156,174,0239,
32,echogram_20010717_140052,20010717,135000,145000,61.0367,61.0385,-1.6243,-1.4951,145,137,166,0240,
33,echogram_20010717_195856,20010717,195200,204000,60.8983,60.8938,-1.851,-2.0041,118,118,132,0241,
34,echogram_20010718_035258,20010718,34300,44000,60.9107,60.8946,-0.9822,-1.129,91,91,105,0242,
35,echogram_20010718_072658,20010718,70500,71800,60.7903,60.7793,-1.1625,-1.1275,83,83,95,0243,
36,echogram_20010718_160021,20010718,154800,162800,60.6578,60.6446,-2.1942,-2.2995,132,124,145,0244,
37,echogram_20010718_192836,20010718,191500,,60.66,,-1.6335,,86,104,115,0245,
38,echogram_20010719_042040,20010719,41000,44100,60.5423,60.531,-2.394,-2.3255,120,120,145,0246,
39,echogram_20010719_102119,20010719,104000,110000,60.3962,60.3978,-2.5725,-2.5386,149,143,160,0247,
40,echogram_20010719_172337,20010719,170500,173500,60.1718,60.1646,-1.9773,-1.9015,54,63,72,0248,
41,echogram_20010720_030203,20010720,40000,45500,60.1495,60.1385,-3.3452,-3.4598,122,122,136,0249,
42,echogram_20010720_102704,20010720,101200,105800,59.8887,59.8715,-2.866,-2.9785,65,61,85,0250,
43,echogram_20010720_150343,20010720,144200,151500,59.901,59.901,-1.9438,-2.0195,101,82,120,0251,
44,echogram_20010721_065808,20010721,64200,70800,59.7875,59.7973,-3.7807,-3.8453,125,122,139,0252,
45,echogram_20010721_113408,20010721,105500,113700,59.5873,59.6211,-3.0018,-2.9955,65,73,85,0253,
46,echogram_20010721_152508,20010721,150000,152800,59.532,59.5348,-3.7992,-3.7523,150,150,163,0254,
47,echogram_20020628_124235,20020628,141700,144500,58.1663,58.1612,0.4883,0.3998,139,136,150,0243,
48,echogram_20020628_180421,20020628,193000,200000,58.1862,58.1687,1.4592,1.4035,95,100,106,0244,
49,echogram_20020629_045642,20020629,55600,61600,58.4177,58.415,0.535,0.575,137,137,150,0245,
50,echogram_20020630_102232,20020630,110300,112500,58.6688,58.67,-1.037,-1.0733,100,103,115,0246,
51,echogram_20020630_140542,20020630,152500,155000,58.6635,58.6618,-0.022,-0.0798,130,133,147,0247,
52,echogram_20020630_180322,20020630,191200,193500,58.6642,58.6695,0.6148,0.5593,133,133,147,0248,
53,echogram_20020701_055454,20020701,71900,74900,58.9115,58.9213,0.6455,0.7225,117,121,135,0249,
54,echogram_20020701_122654,20020701,135200,143700,58.9132,58.9107,-0.922,-0.8282,115,115,127,0250,
55,echogram_20020701_172146,20020701,182000,183500,58.9167,58.9145,-1.822,-1.7867,81,78,93,0251,
